UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L07(0),TC-K-341,NI,Passive,CV1-TC36,TC36,CV1TC36,T1-TC-L07(0),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L07(180),TC-K-342,NI,Passive,CV1-TC9,TC9,CV1TC9,T1-TC-L07(180),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L04(0),TC-K-345,NI,Passive,CV1-TC32,TC32,CV1TC32,T1-TC-L04(0),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L04(180),TC-K-346,NI,Passive,CV1-TC27,TC27,CV1TC27,T1-TC-L04(180),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-M0(0),TC-K-343,NI,Passive,CV1-TC6,TC6,CV1TC6,T1-TC-M0(0),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Control,T1,TC,2HCHS(150)-1-TC-M0(180),TC-K-364,NI,Passive,CV1-TC7,TC7,CV1TC7,T1-TC-M0(180)*,0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R04(0),TC-K-348,NI,Passive,CV1-TC30,TC30,CV1TC30,T1-TC-R04(0),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R04(180),TC-K-349,NI,Passive,CV1-TC40,TC40,CV1TC40,T1-TC-R04(180),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R07(0),TC-K-355,NI,Passive,CV1-TC34,TC34,CV1TC34,T1-TC-R07(0),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R07(180),TC-K-357,NI,Passive,CV1-TC5,TC5,CV1TC5,T1-TC-R07(180),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Process,T1,H,2HCHS(150)-1,T1,H5-L/N,HC5(HB3/CB1),DAC-HB-SSR-HC5,NI->HC5,H5-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-Bonus-A19(90),TC-K-4,NI,Passive,CV1-TC46,TC46,CV1TC46,T1-TC-A19(90),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-Bonus-A17(0),TC-K-80,NI,Passive,CV1-TC48,TC48,CV1TC48,T1-TC-A17(0),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-Bonus-M0(90)Uinsu,TC-K-46,NI,Passive,CV1-TC25,TC25,CV1TC25,T1-TC-M0(90)UInsu,0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-Bonus-A13(180),TC-K-12,NI,Passive,CV1-TC2,TC2,CV1TC2,T1-TC-A13(180),0,0,0,FM
EXP_H_220927_CV1_A2,EXP_H_220927,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-Bonus-C13(0),Generic,NI,Passive,CV1-TC8,TC8,CV1TC8,T1-TC-C13(0),0,0,0,FM
