UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L07(0),TC-K-366,NI,Passive,CV1-TC36,TC36,CV1TC36,T1-TC-L07(0),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L07(180),TC-K-341,NI,Passive,CV1-TC9,TC9,CV1TC9,T1-TC-L07(180),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L04(0),TC-K-352,NI,Passive,CV1-TC32,TC32,CV1TC32,T1-TC-L04(0),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-L04(180),Generic,NI,Passive,CV1-TC27,TC27,CV1TC27,T1-TC-L04(180),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-M0(0),TC-K-356,NI,Passive,CV1-TC6,TC6,CV1TC6,T1-TC-M0(0),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Control,T1,TC,2HCHS(150)-1-TC-M0(180),TC-K-368,NI,Passive,CV1-TC7,TC7,CV1TC7,T1-TC-M0(180)*,0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R04(0),TC-K-360,NI,Passive,CV1-TC30,TC30,CV1TC30,T1-TC-R04(0),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R04(180),Generic,NI,Passive,CV1-TC40,TC40,CV1TC40,T1-TC-R04(180),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R07(0),TC-K-369,NI,Passive,CV1-TC34,TC34,CV1TC34,T1-TC-R07(0),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R07(180),Generic,NI,Passive,CV1-TC5,TC5,CV1TC5,T1-TC-R07(180),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Process,T1,H,2HCHS(150)-1,T1,H5-L/N,HC5(HB3/CB1),DAC-HB-SSR-HC1,NI->HC5,H5-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,2HCHS(150)-1-TC-R12(90),Generic,NI,Passive,CV1-TC8,TC30,CV1TC8,T1-TC-R13(90),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,HCHS(150)-1-TC-L22(90),TC-K-4,NI,Passive,CV1-TC46,TC40,CV1TC46,T1-TC-L22(90),0,0,0,FM
EXP_H_221011_CV1_A2,EXP_H_221011,Heater,CV1,A2,CVHS7-220808,Meas,T1,TC,HCHS(150)-1-TC-L25(90),TC-K-80,NI,Passive,CV1-TC48,TC34,CV1TC48,T1-TC-L25(90),0,0,0,FM
