UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Control,T1,TC,1FC(3)-5-TC-M1(180),TC-K-284,NI,Passive,CV2-TC11,TC67,CV2TC11,T1-TC-M1(180)*,,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,T1,TC,1FC(3)-5-TC-B(0),TC-K-285,NI,Passive,CV2-TC12,TC68,CV2TC12,T1-TC-B(0),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,T2,TC,2HCL(130)-4-TC-T(0),TC-K-317,NI,Passive,CV2-TC15,TC71,CV2TC15,T2-TC-T(0),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,T2,TC,2HCL(130)-4-TC-T(180),TC-K-58,NI,Passive,CV2-TC13,TC69,CV2TC13,T2-TC-T(180),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,T2,TC,2HCL(130)-4-TC-M1(0),TC-K-311,NI,Passive,CV2-TC17,TC73,CV2TC17,T2-TC-M1(0),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Control,T2,TC,2HCL(130)-4-TC-M1(180),TC-K-68,NI,Passive,CV2-TC14,TC70,CV2TC14,T2-TC-M1(180)*,,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,T2,TC,2HCL(130)-4-TC-B(0),TC-K-79,NI,Passive,CV2-TC19,TC75,CV2TC19,T2-TC-B(0),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,T2,TC,2HCL(130)-4-TC-B(180),TC-K-49,NI,Passive,CV2-TC16,TC72,CV2TC16,T2-TC-B(180),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,B1,TC,2HCL(130)-3-TC-T(0),TC-K-23,NI,Passive,CV2-TC21,TC77,CV2TC21,B1-TC-T(0),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,B1,TC,2HCL(130)-3-TC-T(180),TC-K-325,NI,Passive,CV2-TC18,TC74,CV2TC18,B1-TC-T(180),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,B1,TC,2HCL(130)-3-TC-M1(0),TC-K-1,NI,Passive,CV2-TC23,TC79,CV2TC23,B1-TC-M1(0),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Control,B1,TC,2HCL(130)-3-TC-M1(180),TC-K-322,NI,Passive,CV2-TC20,TC76,CV2TC20,B1-TC-M1(180)*,,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,B1,TC,2HCL(130)-3-TC-B(180),TC-K-326,NI,Passive,CV2-TC22,TC78,CV2TC22,B1-TC-B(180),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Control,B2,TC,2HCS(65)-1-TC-T(0),TC-K-67,NI,Passive,CV2-TC25,TC81,CV2TC25,B2-TC-T(0)*,,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Meas,B2,TC,2HCS(65)-1-TC-M1(180),TC-K-52,NI,Passive,CV2-TC24,TC80,CV2TC24,B2-TC-M1(180),,,,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Process,T1,H,1FC(3)-5,T1,H1-L/N,HC9(HB5/CB2),DAC-HB-SSR-HC9,NI->HC9,H1-L/N,T1C-NI-O-D-1/2,6,1.3,0.33,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Process,T2,H,2HCL(130)-4,T2,H2-L/N,HC10(HB5/CB2),DAC-HB-SSR-HC10,NI->HC10,H2-L/N,T2C-NI-O-D-1/2,3,2.5,0.33,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Process,B1,H,2HCL(130)-3,B1,H3-L/N,HC11(HB6/CB2),DAC-HB-SSR-HC11,NI->HC11,H3-L/N,B1C-NI-O-D-1/2,3.5,2.5,0.33,NS
EXP_H_221103_CV2_A1,EXP_H_221103,Heater,CV2,A1,CVHS1-221012,Process,B2,H,2HCS(65)-1,B2,H4-L/N,HC12(HB6/CB2),DAC-HB-SSR-HC12,NI->HC12,H4-L/N,B2C-NI-O-D-1/2,4,2,0.33,NS
