EXP UID,Status,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_Generic_230302,Active,,,CV1,CT,0,,,CT,C1I1,CV1-CT,0,0,CV1-CT,0,0,CV1-CT-G,,,,
EXP_H_Generic_230302,Active,,,CV2,CT,0,,,CT,C2I2,CV2-CT,0,0,CV2-CT,0,0,CV2-CT-G,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC1,SSR,HC1,DAC-HB-SSR-HC1,0,0,DAC-HB-SSR-HC1,0,0,HC1-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC2,SSR,HC2,DAC-HB-SSR-HC2,0,0,DAC-HB-SSR-HC2,0,0,HC2-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC3,SSR,HC3,DAC-HB-SSR-HC3,0,0,DAC-HB-SSR-HC3,0,0,HC3-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC4,SSR,HC4,DAC-HB-SSR-HC4,0,0,DAC-HB-SSR-HC4,0,0,HC4-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC5,SSR,HC5,DAC-HB-SSR-HC5,0,0,DAC-HB-SSR-HC5,0,0,HC5-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC6,SSR,HC6,DAC-HB-SSR-HC6,0,0,DAC-HB-SSR-HC6,0,0,HC6-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC7,SSR,HC7,DAC-HB-SSR-HC7,0,0,DAC-HB-SSR-HC7,0,0,HC7-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC8,SSR,HC8,DAC-HB-SSR-HC8,0,0,DAC-HB-SSR-HC8,0,0,HC8-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC9,SSR,HC9,DAC-HB-SSR-HC9,0,0,DAC-HB-SSR-HC9,0,0,HC9-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC10,SSR,HC10,DAC-HB-SSR-HC10,0,0,DAC-HB-SSR-HC10,0,0,HC10-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC11,SSR,HC11,DAC-HB-SSR-HC11,0,0,DAC-HB-SSR-HC11,0,0,HC11-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC12,SSR,HC12,DAC-HB-SSR-HC12,0,0,DAC-HB-SSR-HC12,0,0,HC12-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC13,SSR,HC13,DAC-HB-SSR-HC13,0,0,DAC-HB-SSR-HC13,0,0,HC13-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC14,SSR,HC14,DAC-HB-SSR-HC14,0,0,DAC-HB-SSR-HC14,0,0,HC14-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC15,SSR,HC15,DAC-HB-SSR-HC15,0,0,DAC-HB-SSR-HC15,0,0,HC15-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC16,SSR,HC16,DAC-HB-SSR-HC16,0,0,DAC-HB-SSR-HC16,0,0,HC16-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC17,SSR,HC17,DAC-HB-SSR-HC17,0,0,DAC-HB-SSR-HC17,0,0,HC17-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,HB,SSR,,HC18,SSR,HC18,DAC-HB-SSR-HC18,0,0,DAC-HB-SSR-HC18,0,0,HC18-SSR,,,,
EXP_H_Generic_230302,Active,,,DAC,MC,HC1,,0,MC,0,DAC-MC-HC1,0,0,DAC-MC-HC1,0,0,HC1-MC,,,,
EXP_H_Generic_230302,Active,,,DAC,MC,HC2,,0,MC,0,DAC-MC-HC2,0,0,DAC-MC-HC2,0,0,HC2-MC,,,,
EXP_H_Generic_230302,Active,,,DAC,MC,HC3,,0,MC,0,DAC-MC-HC3,0,0,DAC-MC-HC3,0,0,HC3-MC,,,,
EXP_H_Generic_230302,Active,,,DAC,MC,HC4,,0,MC,0,DAC-MC-HC4,0,0,DAC-MC-HC4,0,0,HC4-MC,,,,
EXP_H_Generic_230302,Active,,,DAC,MC,HC5,,0,MC,0,DAC-MC-HC5,0,0,DAC-MC-HC5,0,0,HC5-MC,,,,
EXP_H_Generic_230302,Active,,,DAC,MC,HC6,,0,MC,0,DAC-MC-HC6,0,0,DAC-MC-HC6,0,0,HC6-MC,,,,
