EXP UID,Setup,Type,Setup Location,Setup Sub-Location,Sub-Setup Assembly,IO Type,Zone,Device Type,Device Tag,Device Location,Circuit,Power Source,NI LV Channel,Wire Label at NI,Wire Label at Device,Shorthand Tag,P,I,D,Owner
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,Generic,2HCVS(203)-1-TC-T2(0),NI,Passive,CV1-TC12,TC12,CV1TC12,T1-TC-Special,,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,TC-K-399,2HCVS(203)-1-TC-T2(180),NI,Passive,CV1-TC11,TC11,CV1TC11,T1-TC-T2(180),,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,TC-K-400,2HCVS(203)-1-TC-T1(0),NI,Passive,CV1-TC15,TC15,CV1TC15,T1-TC-T1(0),,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,TC-K-385,2HCVS(203)-1-TC-T1(180),NI,Passive,CV1-TC13,TC13,CV1TC13,T1-TC-T1(180),,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,TC-K-390,2HCVS(203)-1-TC-M0(0),NI,Passive,CV1-TC17,TC17,CV1TC17,T1-TC-M0(0),,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Control,T1,TC,TC-K-389,2HCVS(203)-1-TC-M0(180),NI,Passive,CV1-TC14,TC14,CV1TC14,T1-TC-M0(180)*,,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Control,T2,TC,TC-K-389,2HCVS(203)-1-TC-M0(180),NI,Passive,CV1-TC14,TC14,CV1TC14,T1-TC-M0(180)*,,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,TC-K-401,2HCVS(203)-1-TC-B1(0),NI,Passive,CV1-TC19,TC19,CV1TC19,T1-TC-B1(0),,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,TC-K-393,2HCVS(203)-1-TC-B1(180),NI,Passive,CV1-TC16,TC16,CV1TC16,T1-TC-B1(180),,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Meas,T1,TC,TC-K-397,2HCVS(203)-1-TC-B2(180),NI,Passive,CV1-TC18,TC18,CV1TC18,T1-TC-B2(180),,,,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Process,T1,H,HC3,2HCVS(203)-1,H3-L/N,HC3(HB1/CB1),DAC-HB-SSR-HC3,NI->HC3,H3-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
EXP_H_250203_CV1_A3,EXP_H_250203,Heater,CV1,A3,CVHS11-250203,Process,T2,H,HC4,2HCVS(203)-1,H4-L/N,HC4(HB1/CB1),DAC-HB-SSR-HC4,NI->HC4,H4-L/N,T1C-NI-O-D-1/2,4.5,1.35,0.33,FM
